# JaIM Emoji Dictionary
# Format: reading<TAB>emoji1 emoji2 ...
# Loaded at startup with low frequency (candidates appear after regular words)
#
# Faces & Emotions
えがお	😊 😄 😃 😀 😁
わらい	😂 🤣 😆 😅
にこにこ	😊 😄 ☺️
うれしい	😊 😃 🥰 😄
かなしい	😢 😭 😿 💔
なく	😢 😭 😿
なみだ	😢 😭 💧
おこる	😠 😡 💢
いかり	😠 😡 💢
おどろく	😲 😮 😯 😱
びっくり	😲 😮 😯 😱 ‼️ ❗
こまる	😥 😰 😓 😟
かんがえる	🤔 💭
しんぱい	😟 😰 😥
ねむい	😴 😪 💤
つかれた	😩 😫 😮‍💨
すき	😍 🥰 💕 ❤️
だいすき	😍 🥰 💕
きもちわるい	🤢 😰 😖
てれる	😊 😳 ☺️
ウインク	😉
めがね	🤓 👓
さむい	🥶 ❄️
あつい	🥵 🔥
# Gestures & People
て	✋ 🖐️ ✌️ 👋
ゆび	👆 👇 👈 👉 ☝️
おーけー	👌 🆗 ✅
ぐっど	👍 ✨
いいね	👍 ✨ 💯
おけ	👌 🆗
ばいばい	👋 ✋
がんばれ	💪 ✊ 👊
ぱんち	👊 🥊
はくしゅ	👏
おいのり	🙏
おじぎ	🙇
ひと	👤 👥 🧑
おとこ	👨 🧔 ♂️
おんな	👩 ♀️
こども	👶 🧒 👦 👧
あかちゃん	👶 🍼
かぞく	👨‍👩‍👧‍👦 👪
# Hearts & Love
はーと	❤️ 💕 💖 💗 💘 💝 ♥️
あい	❤️ 💕 💘
らぶ	❤️ 💕 💘 🥰
きす	💋 😘 😗
# Animals
ねこ	🐱 🐈 😸 😺 🐾
いぬ	🐶 🐕 🐾
うさぎ	🐰 🐇
くま	🐻 🧸
さる	🐵 🐒
とり	🐦 🐤 🐥 🐣 🕊️
にわとり	🐔 🐓
ぺんぎん	🐧
うま	🐴 🐎 🏇
ぶた	🐷 🐖 🐽
うし	🐮 🐄
ひつじ	🐑 🐏
やぎ	🐐
しか	🦌
ぞう	🐘
きりん	🦒
ライオン	🦁
とら	🐯 🐅
へび	🐍
かえる	🐸
さかな	🐟 🐠 🐡 🎣
くじら	🐳 🐋
いるか	🐬
たこ	🐙
えび	🦐 🍤
かに	🦀
ちょう	🦋
はち	🐝 🍯
てんとうむし	🐞
# Nature & Weather
はな	🌸 🌹 🌺 🌻 🌷 💐
さくら	🌸
ひまわり	🌻
ばら	🌹
き	🌳 🌲 🎄
はっぱ	🍃 🍂 🍁 🌿
くさ	🌱 🌿
たいよう	☀️ 🌞
つき	🌙 🌕 🌛 🌜
ほし	⭐ 🌟 ✨ 💫
くも	☁️ ⛅
あめ	🌧️ ☔ 💧
ゆき	❄️ ⛄ 🌨️
かみなり	⚡ 🌩️
にじ	🌈
かぜ	🌬️ 💨
なみ	🌊
ひ	🔥 🕯️
みず	💧 💦 🚰
# Food & Drink
たべもの	🍔 🍕 🍣 🍜 🍱
ごはん	🍚 🍙 🍱
おにぎり	🍙
すし	🍣
らーめん	🍜
うどん	🍜
そば	🍜
カレー	🍛
にく	🍖 🥩
やさい	🥬 🥦 🥕 🥒
くだもの	🍎 🍊 🍇 🍓 🍌
りんご	🍎 🍏
みかん	🍊 🊧
ぶどう	🍇
いちご	🍓
もも	🍑
すいか	🍉
ばなな	🍌
ぱん	🍞 🥐 🥖
けーき	🍰 🎂 🧁
ちょこ	🍫 🍩
あいす	🍦 🍧 🍨
おちゃ	🍵 🫖
こーひー	☕
びーる	🍺 🍻
さけ	🍶 🥃 🍷
わいん	🍷 🥂
みず	💧 🚰 🥤
べんとう	🍱
